date,cycle,open,lastclose,close,high,low,share,amount,time,macd,avg5,avg10,avg20,avg60
20160823,60,23.27,,23.27,23.27,23.27,9500.0,,47040,-0.004,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,32900.0,,47100,-0.004,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,3500.0,,47160,-0.003,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,9400.0,,47220,-0.003,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,8800.0,,47280,-0.003,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,5700.0,,47340,-0.003,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,6000.0,,47400,-0.002,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,800.0,,47460,-0.002,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,3500.0,,47520,-0.002,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,12800.0,,47580,-0.002,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,2000.0,,47640,-0.002,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,4900.0,,47700,-0.002,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,6600.0,,47760,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,3400.0,,47820,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,800.0,,47880,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,2200.0,,47940,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,10900.0,,48000,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,1400.0,,48060,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,20200.0,,48120,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,11900.0,,48180,-0.001,23.27,23.27,23.27,23.27
20160823,60,23.27,,23.27,23.27,23.27,7500.0,,48240,-0.001,23.27,23.27,23.27,23.27
